id,rtt_ms,jitter_ms
579,0.267699,0.024
580,0.269699,0.002
581,0.2549,0.014799
582,0.265899,0.010999
583,0.2966,0.030701
584,0.2914,0.0052
585,0.220899,0.070501
586,0.2989,0.078001
587,0.345199,0.046299
588,0.562598,0.217399
589,0.469799,0.092799
590,0.413399,0.0564
591,0.321499,0.0919
592,0.3214,9.9e-05
593,0.271899,0.049501
594,0.3179,0.046001
595,0.332199,0.014299
596,0.2803,0.051899
597,0.2673,0.013
598,0.2659,0.0014
599,0.239899,0.026001
600,0.2677,0.027801
601,0.273099,0.005399
602,0.2443,0.028799
603,0.305199,0.060899
604,0.687298,0.382099
605,0.358399,0.328899
606,0.513099,0.1547
607,0.3494,0.163699
608,0.333099,0.016301
609,0.2661,0.066999
610,0.261999,0.004101
611,0.2573,0.004699
612,0.331599,0.074299
613,0.2883,0.043299
614,0.305099,0.016799
615,0.308099,0.003
616,0.345499,0.0374
617,0.332799,0.0127
618,0.385899,0.0531
619,0.433098,0.047199
620,0.357199,0.075899
621,0.504499,0.1473
622,0.441899,0.0626
623,0.344999,0.0969
624,0.441699,0.0967
625,0.384299,0.0574
626,0.378299,0.006
627,0.359099,0.0192
628,0.328399,0.0307
629,0.295499,0.0329
630,0.339999,0.0445
631,0.2572,0.082799
632,0.323199,0.065999
633,0.337799,0.0146
634,0.269399,0.0684
635,0.2728,0.003401
636,0.401199,0.128399
637,0.335199,0.066
638,0.474798,0.139599
639,0.601499,0.126701
640,0.329999,0.2715
641,0.245299,0.0847
642,0.327699,0.0824
643,0.330599,0.0029
644,0.251899,0.0787
645,0.216399,0.0355
646,0.2212,0.004801
647,0.239099,0.017899
648,0.3391,0.100001
649,0.245899,0.093201
650,0.2736,0.027701
651,0.2381,0.0355
652,0.2707,0.0326
653,0.348099,0.077399
654,0.709498,0.361399
655,0.356099,0.353399
656,0.451099,0.095
657,0.322099,0.129
658,0.395599,0.0735
659,0.3782,0.017399
660,0.372899,0.005301
661,0.2562,0.116699
662,0.253699,0.002501
663,0.2828,0.029101
664,0.261499,0.021301
665,0.398999,0.1375
666,0.290299,0.1087
667,0.312299,0.022
668,0.391799,0.0795
669,0.303899,0.0879
670,0.507698,0.203799
671,0.582899,0.075201
672,0.582699,0.0002
673,1.006,0.423298
674,0.427399,0.578598
675,0.456299,0.0289
676,0.356199,0.1001
677,0.362399,0.0062
678,0.367299,0.0049
679,0.395999,0.0287
680,0.359499,0.0365
681,0.368099,0.0086
682,0.391099,0.023
683,0.432898,0.041799
684,0.282799,0.150099
685,0.294499,0.0117
686,0.481099,0.1866
687,0.525499,0.0444
688,0.768098,0.242599
689,0.576599,0.191499
690,0.471299,0.1053
691,0.415099,0.0562
692,0.382899,0.0322
693,0.382599,0.0003
694,0.399299,0.0167
695,0.396799,0.0025
696,0.361099,0.0357
697,0.425499,0.0644
698,0.396699,0.0288
699,0.425399,0.0287
700,0.419598,0.005801
701,0.343699,0.075899
702,0.390599,0.0469
703,0.442499,0.0519
704,0.446499,0.004
705,0.484398,0.037899
706,0.772898,0.2885
707,0.401699,0.371199
708,0.483299,0.0816
709,0.360599,0.1227
710,0.373799,0.0132
711,0.265499,0.1083
712,0.346099,0.0806
713,0.302599,0.0435
714,0.285099,0.0175
715,0.266299,0.0188
716,0.370699,0.1044
717,0.2886,0.082099
718,0.299699,0.011099
719,0.298999,0.0007
720,0.327699,0.0287
721,0.522299,0.1946
722,0.746398,0.224099
723,0.286799,0.459599
724,0.367099,0.0803
725,0.304999,0.0621
726,0.247199,0.0578
727,0.217399,0.0298
728,0.2372,0.019801
729,0.215999,0.021201
730,0.338399,0.1224
731,0.228799,0.1096
732,0.234899,0.0061
733,0.217399,0.0175
734,0.2145,0.002899
735,0.270899,0.056399
736,0.511499,0.2406
737,0.318899,0.1926
738,0.474999,0.1561
739,0.593598,0.118599
740,0.254099,0.339499
741,0.242999,0.0111
742,0.291199,0.0482
743,0.2301,0.061099
744,0.223399,0.006701
745,0.2405,0.017101
746,0.2289,0.0116
747,0.2973,0.0684
748,0.273699,0.023601
749,0.2344,0.039299
750,0.330499,0.096099
751,0.231999,0.0985
752,0.2247,0.007299
753,0.298099,0.073399
754,0.779898,0.481799
755,0.574198,0.2057
756,0.2858,0.288398
757,0.257099,0.028701
758,0.2773,0.020201
759,0.306399,0.029099
760,0.2714,0.034999
761,0.239,0.0324
762,0.2737,0.0347
763,0.2767,0.003
764,0.275499,0.001201
765,0.275599,0.0001
766,0.262499,0.0131
767,0.241299,0.0212
768,0.218299,0.023
769,0.2195,0.001201
770,0.363499,0.143999
771,1.0013,0.637799
772,0.462499,0.538799
773,0.440899,0.0216
774,0.286899,0.154
775,0.287999,0.0011
776,0.283799,0.0042
777,0.340099,0.0563
778,0.276299,0.0638
779,0.264099,0.0122
780,0.353599,0.0895
781,0.280899,0.0727
782,0.3776,0.096701
783,0.315799,0.061801
784,0.260299,0.0555
785,0.224699,0.0356
786,0.311399,0.0867
787,0.455899,0.1445
788,0.591499,0.1356
789,0.543098,0.048401
790,0.360899,0.182199
791,0.302399,0.0585
